community_area,adult_soda_consumption_rate
35,19.9
36,26.1
37,47.4
38,26.7
39,17.4
4,8.6
40,60.1
41,8.2
42,34.2
1,16.5
11,24.4
12,17.5
13,15.9
14,24.9
15,19.6
16,19.1
17,31.5
18,21.2
19,24.8
2,17.0
20,33.0
21,14.7
22,18.1
23,33.0
24,19.7
25,35.9
26,47.3
27,30.1
28,19.1
29,44.0
3,18.8
30,30.0
31,25.4
33,11.9
10,6.7
8,15.8
32,18.8
43,38.2
44,27.4
45,50.8
46,41.4
48,50.1
49,33.2
5,24.3
50,18.0
51,36.4
52,49.4
53,41.8
55,38.8
56,39.8
57,19.9
58,36.5
59,25.9
6,11.5
60,24.7
61,42.3
62,29.0
63,24.4
64,38.8
65,34.4
66,38.7
67,36.3
68,39.1
69,27.6
7,15.5
70,30.4
71,35.0
72,15.5
73,38.1
74,28.3
75,34.1
76,36.6
77,16.5
9,28.3
