key,period,data_value,geo_layer,geo_id_label,population,std_error
POP,2015-2019,18763.463356,neighborhood,1714000-35,,599.526301567942
POP,2015-2019,4425.440249,neighborhood,1714000-36,,264.595461065041
POP,2015-2019,2396.551147,neighborhood,1714000-37,,225.084211282512
POP,2015-2019,22636.700945,neighborhood,1714000-38,,935.904256644012
POP,2015-2019,14201.388739,neighborhood,1714000-39,,576.190096833095
POP,2015-2019,42033.841869,neighborhood,1714000-4,,1079.22440739304
POP,2015-2019,10969.043052,neighborhood,1714000-40,,729.444680462857
POP,2015-2019,22487.887103,neighborhood,1714000-41,,658.48302265967
POP,2015-2019,22922.634445,neighborhood,1714000-42,,890.377353563253
POP,2015-2019,52553.206784,neighborhood,1714000-1,,1308.38603373925
POP,2015-2019,27475.359833,neighborhood,1714000-11,,826.009425133203
POP,2015-2019,19361.55814,neighborhood,1714000-12,,475.467490918879
POP,2015-2019,18896.628476,neighborhood,1714000-13,,729.745721872171
POP,2015-2019,49941.765631,neighborhood,1714000-14,,1282.53020843204
POP,2015-2019,64579.129015,neighborhood,1714000-15,,1434.75806717835
POP,2015-2019,53468.353559,neighborhood,1714000-16,,1174.36881013086
POP,2015-2019,43400.977557,neighborhood,1714000-17,,934.366919263468
POP,2015-2019,14305.195008,neighborhood,1714000-18,,788.515926442701
POP,2015-2019,78649.247667,neighborhood,1714000-19,,1675.04461604186
POP,2015-2019,78444.202314,neighborhood,1714000-2,,1888.3456087911
POP,2015-2019,23534.165997,neighborhood,1714000-20,,896.684458677246
POP,2015-2019,38127.175225,neighborhood,1714000-21,,1296.16697558691
POP,2015-2019,72410.235757,neighborhood,1714000-22,,1277.19879449938
POP,2015-2019,55049.319577,neighborhood,1714000-23,,1856.62254153849
POP,2015-2019,84714.808339,neighborhood,1714000-24,,1319.56282293501
POP,2015-2019,93940.666333,neighborhood,1714000-25,,2301.13116044309
POP,2015-2019,16414.888906,neighborhood,1714000-26,,782.241079139394
POP,2015-2019,18950.718601,neighborhood,1714000-27,,791.557122705699
POP,2015-2019,63280.09464,neighborhood,1714000-28,,1295.66110786466
POP,2015-2019,32086.480035,neighborhood,1714000-29,,1193.6857249666
POP,2015-2019,53663.317254,neighborhood,1714000-3,,1254.26288944116
POP,2015-2019,72091.383081,neighborhood,1714000-30,,1977.83598027049
POP,2015-2019,33050.021824,neighborhood,1714000-31,,1192.09961956139
POP,2015-2019,19810.006139,neighborhood,1714000-33,,832.045858586539
POP,2015-2019,13585.42411,neighborhood,1714000-34,,650.233387409886
POP,2015-2019,38676.029693,neighborhood,1714000-10,,919.4113496191
POP,2015-2019,84576.024332,neighborhood,1714000-8,,1500.01988810156
POP,2015-2019,35958.497534,neighborhood,1714000-32,,1124.72059752574
POP,2015-2019,43755.223524,neighborhood,1714000-43,,1481.3220327258
POP,2015-2019,31122.174153,neighborhood,1714000-44,,1252.60736934298
POP,2015-2019,9589.463276,neighborhood,1714000-45,,739.394999739349
POP,2015-2019,28332.448885,neighborhood,1714000-46,,1037.80942835872
POP,2015-2019,1996.719897,neighborhood,1714000-47,,320.247946959212
POP,2015-2019,12798.740461,neighborhood,1714000-48,,699.627376534466
POP,2015-2019,39252.989495,neighborhood,1714000-49,,1337.25977927572
POP,2015-2019,35603.029202,neighborhood,1714000-5,,872.447991923991
POP,2015-2019,6881.377037,neighborhood,1714000-50,,364.842859565067
POP,2015-2019,15488.044697,neighborhood,1714000-51,,781.111448747826
POP,2015-2019,23448.75298,neighborhood,1714000-52,,894.657538464136
POP,2015-2019,26700.344133,neighborhood,1714000-53,,1201.37048589131
POP,2015-2019,7325.656375,neighborhood,1714000-54,,571.352647241419
POP,2015-2019,9003.049938,neighborhood,1714000-55,,660.779683447974
POP,2015-2019,37113.7674,neighborhood,1714000-56,,998.791913797319
POP,2015-2019,13816.249237,neighborhood,1714000-57,,600.287286621738
POP,2015-2019,44347.377613,neighborhood,1714000-58,,1439.62949514494
POP,2015-2019,15188.12425,neighborhood,1714000-59,,600.250638379553
POP,2015-2019,90172.378144,neighborhood,1714000-6,,1176.09534743669
POP,2015-2019,34483.901503,neighborhood,1714000-60,,1007.34981865271
POP,2015-2019,39458.488229,neighborhood,1714000-61,,1285.919383879
POP,2015-2019,18992.537247,neighborhood,1714000-62,,860.129239775107
POP,2015-2019,37204.527625,neighborhood,1714000-63,,1221.35571184227
POP,2015-2019,25018.229401,neighborhood,1714000-64,,757.484326481156
POP,2015-2019,31799.903511,neighborhood,1714000-65,,1100.444656712
POP,2015-2019,51182.393421,neighborhood,1714000-66,,1528.74851824548
POP,2015-2019,26567.535681,neighborhood,1714000-67,,966.995178908131
POP,2015-2019,22874.516993,neighborhood,1714000-68,,1132.82688568925
POP,2015-2019,30215.363374,neighborhood,1714000-69,,1092.06493093485
POP,2015-2019,62535.374094,neighborhood,1714000-7,,1109.65238930319
POP,2015-2019,43537.909724,neighborhood,1714000-70,,1102.15753301024
POP,2015-2019,45992.397076,neighborhood,1714000-71,,1386.27920900255
POP,2015-2019,19826.532537,neighborhood,1714000-72,,526.920235675221
POP,2015-2019,26635.007753,neighborhood,1714000-73,,1094.41548988182
POP,2015-2019,19196.883036,neighborhood,1714000-74,,548.22247837981
POP,2015-2019,21594.815938,neighborhood,1714000-75,,814.928664181925
POP,2015-2019,15655.21018,neighborhood,1714000-76,,628.571057290839
POP,2015-2019,48691.025555,neighborhood,1714000-77,,988.384818347989
POP,2015-2019,11254.802798,neighborhood,1714000-9,,408.97223200739
