,name,key,description,units,format
0,Accidents mortality,VRAC,Number of people who died due to an unintentional injury.,count of deaths,0 decimal places
1,Accidents mortality rate,VRACR,Age-adjusted rate of people who died due to an unintentional injury.,"per 100,000 population",1 decimal place
2,Adult asthma,HCSATH,"Number of adults who reported that a doctor, nurse or other health professional has diagnosed them with asthma, and they currently have asthma.",count of adults,0 decimal places
3,Adult asthma rate,HCSATHP,"Percent of adults who reported that a doctor, nurse or other health professional has diagnosed them with asthma, and they currently have asthma.",% of adults,1 decimal place
4,Adult binge drinking,HCSBD,"Number of adults who report binge drinking (men having 5 or more drinks on one occasion, women having 4 or more drinks on one occasion) in the past month.",count of adults,0 decimal places
5,Adult binge drinking rate,HCSBDP,"Percent of adults who report binge drinking (men having 5 or more drinks on one occasion, women having 4 or more drinks on one occasion) in the past month.",% of adults,1 decimal place
6,Adult diabetes,HCSDIA,"Number of adults who reported that a doctor, nurse or other health professional has diagnosed them with diabetes (excludes pre-diabetes or diabetes only during pregnancy).",count of adults,0 decimal places
7,Adult diabetes rate,HCSDIAP,"Percent of adults who reported that a doctor, nurse or other health professional has diagnosed them with diabetes (excludes pre-diabetes or diabetes only during pregnancy).",% of adults,1 decimal place
8,Adult e-cigarette use,HCSEC,Number of adults who report that they have used electronic cigarettes in the past 30 days.,count of adults,0 decimal places
9,Adult e-cigarette use rate,HCSECP,Percent of adults who report that they have used electronic cigarettes in the past 30 days.,% of adults,1 decimal place
10,Adult flu vaccination,HCSFLU,Number of adults who report that they had a flu shot or a flu vaccine that was sprayed in their nose within the past 12 months.,count of adults,0 decimal places
11,Adult flu vaccination rate,HCSFLUP,Percent of adults who report that they had a flu shot or a flu vaccine that was sprayed in their nose within the past 12 months.,% of adults,1 decimal place
12,Adult fruit and vegetable servings,HCSFV,Number of adults who reported eating five or more servings of fruits and vegetables (combined) daily.,count of adults,0 decimal places
13,Adult fruit and vegetable servings rate,HCSFVP,Percent of adults who reported eating five or more servings of fruits and vegetables (combined) daily.,% of adults,1 decimal place
14,Adult obesity,HCSOB,Number of adults who reported a height and weight that yield a body mass index of 30 or greater.,count of adults,0 decimal places
15,Adult obesity rate,HCSOBP,Percent of adults who reported a height and weight that yield a body mass index of 30 or greater.,% of adults,1 decimal place
16,Adult physical inactivity,HCSPA,Number of adults who reported that they did not participate in any physical activities or exercises in the past month.,count of adults,0 decimal places
17,Adult physical inactivity rate,HCSPAP,Percent of adults who reported that they did not participate in any physical activities or exercises in the past month.,% of adults,1 decimal place
18,Adult smoking,HCSSMK,Number of adults who report that they've smoked at least 100 cigarettes in their life and report that they now smoke cigarettes every day or some days.,count of adults,0 decimal places
19,Adult smoking rate,HCSSMKP,Percent of adults who report that they've smoked at least 100 cigarettes in their life and report that they now smoke cigarettes every day or some days.,% of adults,1 decimal place
20,Adult soda consumption,HCSS,"Number of adults who drank soda or pop or other sweetened drinks like sweetened iced tea, sports drinks, fruit punch or other fruit-flavored drinks at least once per day in the past month.",count of adults,0 decimal places
21,Adult soda consumption rate,HCSSP,"Percent of adults who drank soda or pop or other sweetened drinks like sweetened iced tea, sports drinks, fruit punch or other fruit-flavored drinks at least once per day in the past month.",% of adults,1 decimal place
