geo_id_label,period,Low food access,Neighborhood safety rate,Per capita income
1,2014-2018,,,29865.8513219293
1,2015,5.70314818416434,,
1,2015-2017,,76.6,
1,2015-2019,,,29913.4404825808
1,2016-2018,,73.0,
1,2019,5.67896156655646,,
10,2014-2018,,,45905.6989039114
10,2015,45.2986199659686,,
10,2015-2017,,96.4,
10,2015-2019,,,47085.4783994497
10,2016-2018,,96.3,
10,2019,57.982295050679,,
11,2014-2018,,,38012.9951816056
11,2015,9.38595784438834,,
11,2015-2017,,96.5,
11,2015-2019,,,37378.8187327013
11,2016-2018,,97.4,
11,2019,9.38820742416371,,
12,2014-2018,,,55414.6490273997
12,2015,17.4743352589529,,
12,2015-2017,,96.7,
12,2015-2019,,,58010.1731861339
12,2016-2018,,95.4,
12,2019,17.5198845533823,,
13,2014-2018,,,37313.5280247826
13,2015,28.102579029134,,
13,2015-2017,,87.8,
13,2015-2019,,,37284.8790155814
13,2016-2018,,96.1,
13,2019,76.7781154091305,,
14,2014-2018,,,31742.6564888805
14,2015,0.0421877748608653,,
14,2015-2017,,80.0,
14,2015-2019,,,33104.5357691715
14,2016-2018,,87.1,
14,2019,3.89779136284278,,
15,2014-2018,,,32826.8113649723
15,2015,12.0991942637208,,
15,2015-2017,,88.2,
15,2015-2019,,,34619.5859254656
15,2016-2018,,90.9,
15,2019,24.8257787002095,,
16,2014-2018,,,40595.6354209715
16,2015,13.324432874289,,
16,2015-2017,,86.6,
16,2015-2019,,,42045.9786628078
16,2016-2018,,83.0,
16,2019,15.2155990232583,,
17,2014-2018,,,33674.6806629347
17,2015,27.1040409197298,,
17,2015-2017,,96.4,
17,2015-2019,,,34459.732472294
17,2016-2018,,94.0,
17,2019,47.3604793817543,,
18,2014-2018,,,28788.2651305032
18,2015,0.0392083926529922,,
18,2015-2017,,77.5,
18,2015-2019,,,30941.0038972965
18,2016-2018,,79.0,
18,2019,0.0758252634643147,,
19,2014-2018,,,20907.6267606234
19,2015,0.00708189345643164,,
19,2015-2017,,71.8,
19,2015-2019,,,21776.4502682445
19,2016-2018,,65.0,
19,2019,0.00970678455631717,,
2,2014-2018,,,29013.9666480987
2,2015,8.72877957703951,,
2,2015-2017,,77.3,
2,2015-2019,,,29916.5085728848
2,2016-2018,,75.6,
2,2019,9.32642202852269,,
20,2014-2018,,,21732.7308116745
20,2015,0.00156008269057485,,
20,2015-2017,,58.8,
20,2015-2019,,,23735.8925388898
20,2016-2018,,66.9,
20,2019,0.00156022376168676,,
21,2014-2018,,,32508.5431199008
21,2015,0.00849529928403688,,
21,2015-2017,,88.1,
21,2015-2019,,,35722.8391987291
21,2016-2018,,80.0,
21,2019,0.00858381841740546,,
22,2014-2018,,,50679.682459877
22,2015,0.0104657535503667,,
22,2015-2017,,82.6,
22,2015-2019,,,54282.4402277014
22,2016-2018,,84.9,
22,2019,0.0104765477811148,,
23,2014-2018,,,18703.3042099824
23,2015,16.729677185846,,
23,2015-2017,,52.2,
23,2015-2019,,,19079.4828806295
23,2016-2018,,48.5,
23,2019,16.4262630325303,,
24,2014-2018,,,64069.5246834848
24,2015,6.35551410608618,,
24,2015-2017,,84.6,
24,2015-2019,,,68152.2714832152
24,2016-2018,,86.0,
24,2019,0.61131394991469,,
25,2014-2018,,,21420.2710898096
25,2015,37.8103848328117,,
25,2015-2017,,54.9,
25,2015-2019,,,23651.7282459047
25,2016-2018,,59.6,
25,2019,32.4076171323229,,
26,2014-2018,,,14123.7897341278
26,2015,5.09191286238964,,
26,2015-2017,,49.3,
26,2015-2019,,,15021.0094127515
26,2016-2018,,46.0,
26,2019,0.0501227301129808,,
27,2014-2018,,,15213.5750280429
27,2015,18.019127741605,,
27,2015-2017,,67.1,
27,2015-2019,,,16757.4648161101
27,2016-2018,,60.6,
27,2019,52.3356796509787,,
28,2014-2018,,,45577.9565418505
28,2015,15.9009100053601,,
28,2015-2017,,81.6,
28,2015-2019,,,47491.898560534
28,2016-2018,,82.6,
28,2019,16.3899040761542,,
29,2014-2018,,,15480.7173362502
29,2015,22.4929082676921,,
29,2015-2017,,47.9,
29,2015-2019,,,16469.437621553
29,2016-2018,,45.9,
29,2019,22.3385451747269,,
3,2014-2018,,,49199.3705882912
3,2015,0.0157907936839179,,
3,2015-2017,,79.0,
3,2015-2019,,,49457.0765285371
3,2016-2018,,81.9,
3,2019,0.0159164152685014,,
30,2014-2018,,,12464.2542944709
30,2015,4.63303823962818,,
30,2015-2017,,53.8,
30,2015-2019,,,13713.7297711375
30,2016-2018,,51.9,
30,2019,4.79340288387538,,
31,2014-2018,,,26180.80072105
31,2015,0.0336162165226948,,
31,2015-2017,,69.0,
31,2015-2019,,,28702.901735673
31,2016-2018,,69.8,
31,2019,12.095452726842,,
32,2014-2018,,,83937.8547888872
32,2015,0.00331859257401228,,
32,2015-2017,,85.7,
32,2015-2019,,,86882.1490159734
32,2016-2018,,87.9,
32,2019,0.00345935920243558,,
33,2014-2018,,,85143.1662760311
33,2015,5.54856320676979,,
33,2015-2017,,89.8,
33,2015-2019,,,87308.7438064876
33,2016-2018,,87.2,
33,2019,3.93455820464246,,
34,2014-2018,,,19689.5171102059
34,2015,35.8232105462389,,
34,2015-2017,,63.2,
34,2015-2019,,,21748.9110101515
34,2016-2018,,76.5,
34,2019,18.8411405047685,,
35,2014-2018,,,29563.0633887222
35,2015,20.2250950294075,,
35,2015-2017,,89.4,
35,2015-2019,,,30324.0576140026
35,2016-2018,,78.4,
35,2019,36.5810693577971,,
36,2014-2018,,,24788.4552658083
36,2015,7.80198745559269,,
36,2015-2017,,59.4,
36,2015-2019,,,25027.0720266517
36,2016-2018,,64.5,
36,2019,7.80366305227681,,
37,2014-2018,,,17490.7325610703
37,2015,91.0967630729753,,
37,2015-2017,,83.7,
37,2015-2019,,,17146.4160807445
37,2016-2018,,83.7,
37,2019,97.1012332518511,,
38,2014-2018,,,27924.6611061733
38,2015,6.55100709561846,,
38,2015-2017,,72.2,
38,2015-2019,,,29506.7464136188
38,2016-2018,,70.2,
38,2019,10.537804854067,,
39,2014-2018,,,53124.7651604925
39,2015,0.00173719899076015,,
39,2015-2017,,84.2,
39,2015-2019,,,51390.6754763346
39,2016-2018,,85.8,
39,2019,5.7702614420898,,
4,2014-2018,,,50564.1505469045
4,2015,6.15974190839667,,
4,2015-2017,,90.4,
4,2015-2019,,,51806.0829780648
4,2016-2018,,90.1,
4,2019,7.90276170553888,,
40,2014-2018,,,18338.5311868103
40,2015,0.203133919504552,,
40,2015-2017,,43.1,
40,2015-2019,,,18639.2540687641
40,2016-2018,,38.8,
40,2019,65.4569603204927,,
41,2014-2018,,,51627.9998828984
41,2015,6.60717504565882,,
41,2015-2017,,91.3,
41,2015-2019,,,51290.7741024082
41,2016-2018,,90.8,
41,2019,12.3591156858882,,
42,2014-2018,,,23062.861356703
42,2015,19.066269479618,,
42,2015-2017,,65.8,
42,2015-2019,,,23169.626082949
42,2016-2018,,63.5,
42,2019,36.9212547535005,,
43,2014-2018,,,24860.0963037277
43,2015,53.8980558701033,,
43,2015-2017,,57.9,
43,2015-2019,,,26513.8282534191
43,2016-2018,,54.8,
43,2019,57.5959879762995,,
44,2014-2018,,,24382.0174754862
44,2015,28.4144841034914,,
44,2015-2017,,65.8,
44,2015-2019,,,25881.9176381955
44,2016-2018,,66.3,
44,2019,55.0562111666794,,
45,2014-2018,,,26412.7460343283
45,2015,15.9487722426343,,
45,2015-2017,,58.0,
45,2015-2019,,,26974.3936374808
45,2016-2018,,56.0,
45,2019,19.1656069037685,,
46,2014-2018,,,19524.9873648474
46,2015,28.5793279987704,,
46,2015-2017,,62.4,
46,2015-2019,,,19932.4071593015
46,2016-2018,,52.7,
46,2019,25.3540326101423,,
47,2014-2018,,,20241.7360235795
47,2015,93.7255546542074,,
47,2015-2019,,,21203.6390103328
47,2016-2018,,48.8,
47,2019,94.2531011377957,,
48,2014-2018,,,29621.1983653067
48,2015,40.1160893979243,,
48,2015-2017,,92.9,
48,2015-2019,,,30876.2494491146
48,2016-2018,,86.4,
48,2019,40.1176905110561,,
49,2014-2018,,,23062.5066294333
49,2015,67.834547720587,,
49,2015-2017,,65.8,
49,2015-2019,,,23257.0593769598
49,2016-2018,,64.8,
49,2019,66.6029013129088,,
5,2014-2018,,,76270.6383836616
5,2015,15.6998157645419,,
5,2015-2017,,98.5,
5,2015-2019,,,77989.2838380452
5,2016-2018,,95.3,
5,2019,15.9023273001898,,
50,2014-2018,,,26027.4567549402
50,2015,77.8735493777651,,
50,2015-2017,,89.4,
50,2015-2019,,,26566.8170458931
50,2016-2018,,79.2,
50,2019,77.8757988533393,,
51,2014-2018,,,18683.003358657
51,2015,70.7204882783799,,
51,2015-2017,,63.4,
51,2015-2019,,,19130.189297453
51,2016-2018,,60.3,
51,2019,70.7701693258621,,
52,2014-2018,,,18631.0588619942
52,2015,20.2486948041188,,
52,2015-2017,,69.3,
52,2015-2019,,,19676.0806727898
52,2016-2018,,62.3,
52,2019,23.527644813033,,
53,2014-2018,,,21509.0967475379
53,2015,63.6162408441163,,
53,2015-2017,,61.5,
53,2015-2019,,,23468.2995152415
53,2016-2018,,62.3,
53,2019,63.6690448179955,,
54,2014-2018,,,12476.3758226999
54,2015,16.4966914007613,,
54,2015-2017,,32.4,
54,2015-2019,,,12844.3793976255
54,2016-2018,,30.4,
54,2019,99.8478604652979,,
55,2014-2018,,,29342.5995621361
55,2015,30.879784021506,,
55,2015-2017,,70.2,
55,2015-2019,,,28676.7389057398
55,2016-2018,,73.7,
55,2019,30.8941740962106,,
56,2014-2018,,,31897.4162526686
56,2015,43.5158663768706,,
56,2015-2017,,88.4,
56,2015-2019,,,32011.8539288694
56,2016-2018,,84.9,
56,2019,47.7369888879815,,
57,2014-2018,,,21543.8115830182
57,2015,1.57634746997186,,
57,2015-2017,,63.5,
57,2015-2019,,,22064.922334646
57,2016-2018,,67.2,
57,2019,0.584612868227603,,
58,2014-2018,,,17333.5549813111
58,2015,19.6669643796035,,
58,2015-2017,,61.0,
58,2015-2019,,,18085.628102739
58,2016-2018,,59.5,
58,2019,17.5886856693077,,
59,2014-2018,,,23485.9739480831
59,2015,3.22092272625081,,
59,2015-2017,,78.5,
59,2015-2019,,,24472.6110489595
59,2016-2018,,79.3,
59,2019,3.39383263658513,,
6,2014-2018,,,77734.1973689774
6,2015,5.19454731188599,,
6,2015-2017,,91.5,
6,2015-2019,,,80680.8736095362
6,2016-2018,,94.4,
6,2019,5.19481248042596,,
60,2014-2018,,,30629.718810191
60,2015,7.50421428924203,,
60,2015-2017,,80.5,
60,2015-2019,,,32595.535510191
60,2016-2018,,81.7,
60,2019,35.0811113563643,,
61,2014-2018,,,19416.5981187928
61,2015,15.433975108322,,
61,2015-2017,,55.8,
61,2015-2019,,,21519.9949429074
61,2016-2018,,53.5,
61,2019,21.3747748946289,,
62,2014-2018,,,21920.7269343453
62,2015,11.27369552314,,
62,2015-2017,,82.3,
62,2015-2019,,,23694.0872084096
62,2016-2018,,85.3,
62,2019,23.4935225660495,,
63,2014-2018,,,15626.5892022473
63,2015,0.468011976586075,,
63,2015-2017,,59.8,
63,2015-2019,,,16772.9972746725
63,2016-2018,,58.4,
63,2019,20.8708077124487,,
64,2014-2018,,,28936.6483930846
64,2015,49.16624226332,,
64,2015-2017,,78.4,
64,2015-2019,,,29019.4903898082
64,2016-2018,,75.0,
64,2019,49.1477609721487,,
65,2014-2018,,,23149.9301354569
65,2015,26.9618873608086,,
65,2015-2017,,68.6,
65,2015-2019,,,24822.8781468265
65,2016-2018,,72.2,
65,2019,33.4765732598414,,
66,2014-2018,,,16603.2921195077
66,2015,13.0094961261514,,
66,2015-2017,,62.0,
66,2015-2019,,,17543.4896093991
66,2016-2018,,62.2,
66,2019,27.0809916982636,,
67,2014-2018,,,17037.6395321492
67,2015,42.0655615094592,,
67,2015-2017,,52.8,
67,2015-2019,,,17580.6762515652
67,2016-2018,,52.0,
67,2019,63.5006602236881,,
68,2014-2018,,,16437.0600304532
68,2015,14.3420414072319,,
68,2015-2017,,50.5,
68,2015-2019,,,16684.156943516
68,2016-2018,,55.3,
68,2019,22.2534617002075,,
69,2014-2018,,,17987.5992223912
69,2015,40.0847179292533,,
69,2015-2017,,56.8,
69,2015-2019,,,19158.5025020296
69,2016-2018,,57.5,
69,2019,10.5555862885626,,
7,2014-2018,,,90079.475260082
7,2015,4.68311766167112,,
7,2015-2017,,89.2,
7,2015-2019,,,94590.5900816481
7,2016-2018,,86.3,
7,2019,4.68280359213997,,
70,2014-2018,,,26876.0933057498
70,2015,67.5552049868346,,
70,2015-2017,,83.1,
70,2015-2019,,,27176.021319336
70,2016-2018,,87.2,
70,2019,68.2132581272332,,
71,2014-2018,,,21138.6354290185
71,2015,22.1517135222397,,
71,2015-2017,,53.7,
71,2015-2019,,,21276.9128780315
71,2016-2018,,57.9,
71,2019,25.2419026015466,,
72,2014-2018,,,53154.7790240197
72,2015,59.6601820629733,,
72,2015-2017,,91.8,
72,2015-2019,,,56388.9389207621
72,2016-2018,,89.7,
72,2019,50.254538522419,,
73,2014-2018,,,25715.7471708097
73,2015,55.0272081863741,,
73,2015-2017,,68.3,
73,2015-2019,,,25831.7828700246
73,2016-2018,,66.0,
73,2019,64.8556030826281,,
74,2014-2018,,,42097.667639162
74,2015,39.6281294533416,,
74,2015-2017,,98.1,
74,2015-2019,,,42414.3261722381
74,2016-2018,,96.3,
74,2019,62.7846679184914,,
75,2014-2018,,,34466.2631247243
75,2015,36.8551703630528,,
75,2015-2017,,76.3,
75,2015-2019,,,35956.7141024833
75,2016-2018,,83.6,
75,2019,32.3508556614186,,
76,2014-2018,,,30096.7235877126
76,2015,73.6601919250371,,
76,2015-2017,,76.9,
76,2015-2019,,,32105.5427009836
76,2016-2018,,88.8,
76,2019,75.7712840549324,,
77,2014-2018,,,48396.5996868377
77,2015,3.97120501531774,,
77,2015-2017,,92.0,
77,2015-2019,,,49902.4491382545
77,2016-2018,,92.4,
77,2019,0.00151651223009447,,
8,2014-2018,,,99073.3913556758
8,2015,0.00347384606426687,,
8,2015-2017,,89.1,
8,2015-2019,,,102621.21515488
8,2016-2018,,85.8,
8,2019,0.00347276661890658,,
9,2014-2018,,,58690.1397790423
9,2015,18.6617346618252,,
9,2015-2017,,100.0,
9,2015-2019,,,62226.0381226636
9,2016-2018,,100.0,
9,2019,26.3903188152609,,
