community_area,year,0
1,2015,3598
10,2015,1280
11,2015,1158
12,2015,451
13,2015,844
14,2015,2541
15,2015,3460
16,2015,3022
17,2015,1661
18,2015,588
19,2015,4849
2,2015,3120
20,2015,1738
21,2015,2263
22,2015,4810
23,2015,8206
24,2015,7091
25,2015,17424
26,2015,6039
27,2015,5466
28,2015,7961
29,2015,8440
3,2015,3668
30,2015,4464
31,2015,2534
32,2015,7601
33,2015,1885
34,2015,1085
35,2015,2530
36,2015,636
37,2015,844
38,2015,3160
39,2015,1380
4,2015,1771
40,2015,2776
41,2015,1521
42,2015,3760
43,2015,9123
44,2015,6061
45,2015,1393
46,2015,5095
47,2015,389
48,2015,1488
49,2015,6656
5,2015,1395
50,2015,1049
51,2015,1928
52,2015,1322
53,2015,4025
54,2015,1190
55,2015,516
56,2015,1859
57,2015,1002
58,2015,2764
59,2015,1084
6,2015,5594
60,2015,1619
61,2015,5011
62,2015,1037
63,2015,2372
64,2015,942
65,2015,2058
66,2015,6233
67,2015,7550
68,2015,7261
69,2015,6790
7,2015,3765
70,2015,2322
71,2015,7864
72,2015,992
73,2015,3180
74,2015,620
75,2015,2091
76,2015,1752
77,2015,2266
8,2015,9088
9,2015,258
