id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58
12614062,JF139587,2022-02-09T23:34:00.000,001XX S LA SALLE ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SIDEWALK,False,False,0122,001,42,32,04A,1175152,1899772,2022,2022-02-16T15:50:22.000,41.880357783,-87.632317785,"{'latitude': '41.880357783', 'longitude': '-87.632317785', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,14311,38,92,36,34,22,79
12615377,JF141254,2022-02-09T23:30:00.000,085XX S CICERO AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,MEDICAL / DENTAL OFFICE,False,False,0834,008,18,70,26,1145933,1847292,2022,2022-02-16T15:50:22.000,41.736949461,-87.740935774,"{'latitude': '41.736949461', 'longitude': '-87.740935774', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,4300,,,,,,
12614434,JF140075,2022-02-09T23:30:00.000,082XX S DANTE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0411,004,8,45,07,1187281,1850737,2022,2022-02-16T15:50:22.000,41.745522022,-87.589340925,"{'latitude': '41.745522022', 'longitude': '-87.589340925', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21546,41,133,35,61,19,224
12614103,JF139592,2022-02-09T23:25:00.000,077XX S ESSEX AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,0421,004,7,43,14,1194202,1854229,2022,2022-02-16T15:50:22.000,41.754937343,-87.56386716,"{'latitude': '41.754937343', 'longitude': '-87.56386716', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,22538,39,246,37,24,19,225
12614067,JF139591,2022-02-09T23:22:00.000,011XX S HOMAN AVE,2021,NARCOTICS,POSSESS - BARBITURATES,STREET,True,False,1133,011,24,29,18,1153879,1894754,2022,2022-02-16T15:50:22.000,41.867038112,-87.710563803,"{'latitude': '41.867038112', 'longitude': '-87.710563803', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21572,30,98,14,30,16,141
12614066,JF139600,2022-02-09T23:21:00.000,089XX S COTTAGE GROVE AVE,3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,STREET,True,False,0633,006,8,44,24,1183131,1845674,2022,2022-02-16T15:50:22.000,41.731726045,-87.604704171,"{'latitude': '41.731726045', 'longitude': '-87.604704171', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21546,40,430,35,61,20,248
12614117,JF139562,2022-02-09T23:20:00.000,014XX W CHICAGO AVE,0484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA BUS,True,False,1215,012,27,24,08B,1166834,1905459,2022,2022-02-16T15:50:22.000,41.896145709,-87.662697234,"{'latitude': '41.896145709', 'longitude': '-87.662697234', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,22620,25,484,41,49,15,60
12614090,JF139601,2022-02-09T23:16:00.000,074XX S NORMAL AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,0732,007,6,68,15,1174251,1855572,2022,2022-02-16T15:50:22.000,41.759089096,-87.636941506,"{'latitude': '41.759089096', 'longitude': '-87.636941506', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,21559,66,511,32,11,17,214
12614055,JF139585,2022-02-09T23:16:00.000,056XX S DR MARTIN LUTHER KING JR DR,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,PARKING LOT / GARAGE (NON RESIDENTIAL),True,False,0233,002,20,40,18,1179885,1867762,2022,2022-02-16T15:50:22.000,41.792412671,-87.615920606,"{'latitude': '41.792412671', 'longitude': '-87.615920606', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,22260,7,402,4,60,24,125
12615975,JF139682,2022-02-09T23:15:00.000,077XX S WOLCOTT AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,0611,006,17,71,06,1165032,1853363,2022,2022-02-16T15:50:22.000,41.753227113,-87.670791108,"{'latitude': '41.753227113', 'longitude': '-87.670791108', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,21554,70,573,31,59,20,231
12614059,JF139578,2022-02-09T23:13:00.000,033XX W LAWRENCE AVE,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,PARKING LOT / GARAGE (NON RESIDENTIAL),True,False,1713,017,33,14,18,1153054,1931690,2022,2022-02-16T15:50:22.000,41.968410081,-87.71261107,"{'latitude': '41.968410081', 'longitude': '-87.71261107', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,21849,14,750,20,20,1,1
12614088,JF139595,2022-02-09T23:02:00.000,106XX S GLENROY AVE,031A,ROBBERY,ARMED - HANDGUN,RESIDENCE,False,False,2232,022,34,73,03,1168869,1834194,2022,2022-02-16T15:50:22.000,41.700542602,-87.657281647,"{'latitude': '41.700542602', 'longitude': '-87.657281647', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,22212,72,595,22,13,9,253
12614068,JF139602,2022-02-09T23:02:00.000,072XX S CHAMPLAIN AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,APARTMENT,False,False,0323,003,6,69,15,1181815,1857234,2022,2022-02-16T15:50:22.000,41.763478424,-87.609168742,"{'latitude': '41.763478424', 'longitude': '-87.609168742', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21546,67,515,32,61,18,223
