,community_area,community_area_name,assault_homicide,firearm_related,below_poverty_level,crowded_housing,dependency,no_high_school_diploma,per_capita_income,unemployment,adult_fruit_and_vegetable_servings_rate,adult_soda_consumption_rate,low_food_access,poverty_rate,crime_rate,population
0,68,ENGLEWOOD,45.1,44.9,42.2,4.8,43.4,29.4,11993,21.3,24.3,39.1,22.2534617002075,40.1025625630883,2875.951436269962,22874.516993
1,24,WEST TOWN,8.5,6.6,15.7,2.0,22.9,13.4,39596,6.0,30.4,19.7,0.61131394991469,10.8919416610081,906.09896315686,84714.808339
2,25,AUSTIN,34.4,28.5,27.0,5.7,39.0,25.0,15920,21.0,17.3,35.9,32.4076171323229,25.3834501888885,1781.124262062243,93940.666333
3,26,WEST GARFIELD PARK,40.0,36.0,40.3,8.9,42.5,26.2,10951,25.2,23.1,47.3,0.0501227301129808,39.0036085963692,3555.065181018046,16414.888906
4,35,DOUGLAS,13.6,9.1,26.1,1.6,31.0,16.9,23098,16.7,37.5,19.9,36.5810693577971,34.9312873573685,1395.904343620261,18763.463356
5,32,LOOP,0.7,4.0,11.1,2.0,15.5,3.4,67699,4.2,34.2,18.8,0.0034593592024355,11.3817703092548,2528.7485917347503,35958.497534
6,8,NEAR NORTH SIDE,3.7,3.2,13.4,2.0,23.3,3.4,87163,5.2,35.3,15.8,0.0034727666189065,9.42543598801634,1279.4406080761814,84576.024332
7,41,HYDE PARK,5.8,5.0,18.2,2.5,26.7,5.3,39243,6.9,29.4,8.2,12.3591156858882,20.8223756840121,747.8692828263262,22487.887103
8,12,FOREST GLEN,3.3,6.2,6.1,1.3,40.6,6.3,41509,5.5,40.4,17.5,17.5198845533823,4.41424240534286,261.75579275976594,19361.55814
9,6,LAKE VIEW,1.4,1.8,10.5,1.2,16.5,2.9,58227,4.7,39.5,11.5,5.19481248042596,7.92000613643862,646.0958577244375,90172.378144
10,17,DUNNING,3.7,5.2,8.3,4.8,34.9,18.0,26347,8.6,17.7,31.5,47.3604793817543,6.9598650419721,369.85342044239337,43400.977557
11,39,KENWOOD,15.2,17.4,23.1,2.3,34.2,10.8,37519,11.0,35.2,17.4,5.7702614420898,19.431431303602,1030.1809399684232,14201.388739
12,10,NORWOOD PARK,4.7,8.7,5.9,2.3,40.6,13.5,31659,7.3,19.9,6.7,57.982295050679,6.70165307442226,317.9230158214886,38676.029693
13,76,O'HARE,5.6,11.8,9.5,1.9,26.5,11.0,29402,4.7,32.7,36.6,75.7712840549324,13.2854038628253,1140.4509932935312,15655.21018
14,15,PORTAGE PARK,3.3,4.7,12.3,4.4,34.6,18.7,23617,10.6,34.4,19.6,24.8257787002095,9.39921336647777,518.0621124857392,64579.129015
15,77,EDGEWATER,5.8,3.9,16.6,3.9,23.4,9.0,33364,9.0,32.3,16.5,0.0015165122300944,13.1524016255391,510.2788392069225,48691.025555
16,11,JEFFERSON PARK,4.8,4.2,6.4,1.9,34.4,13.5,27280,9.0,31.2,24.4,9.38820742416371,9.81145392962761,410.1129182106753,27475.359833
17,5,NORTH CENTER,1.0,1.0,7.1,0.2,25.5,5.4,51615,4.5,31.1,24.3,15.9023273001898,5.28934818053859,399.6289169462227,35603.029202
18,60,BRIDGEPORT,4.9,4.5,17.3,4.8,32.3,25.6,24969,11.2,31.1,24.7,35.0811113563643,14.6796024122489,473.7862970226452,34483.901503
19,7,LINCOLN PARK,0.7,2.3,11.8,0.6,20.4,4.3,71403,4.5,38.8,15.5,4.68280359213997,9.14617440954786,690.9369397079472,62535.374094
20,21,AVONDALE,4.7,4.6,14.6,5.8,30.4,25.7,20489,9.3,27.3,14.7,0.0085838184174054,14.321270625066,610.4832016177774,38127.175225
21,9,EDISON PARK,0.0,7.1,5.1,0.6,36.6,8.5,38337,7.4,39.3,28.3,26.3903188152609,3.5051456636979,238.29826680540296,11254.802798
22,4,LINCOLN SQUARE,5.0,6.1,9.5,3.1,25.6,12.5,35503,6.8,44.1,8.6,7.90276170553888,8.16097667454616,457.48851746483217,42033.841869
23,19,BELMONT CRAGIN,7.0,5.5,18.6,10.0,36.9,37.0,15246,11.5,18.9,24.8,0.0097067845563171,15.7922978934644,601.3026367427414,78649.247667
24,13,NORTH PARK,3.0,3.1,12.4,3.8,39.7,18.2,24941,7.5,30.8,15.9,76.7781154091305,11.3278170060913,493.4213535415649,18896.628476
25,72,BEVERLY,3.5,3.5,5.2,0.7,38.7,5.1,40107,7.8,44.8,15.5,50.254538522419,4.69124343795363,476.6340247526663,19826.532537
26,16,IRVING PARK,4.1,5.7,10.8,5.6,31.6,22.0,26713,10.3,27.5,19.1,15.2155990232583,8.70421881562031,551.2419597412276,53468.353559
27,2,WEST RIDGE,5.8,3.7,15.1,7.0,38.3,19.6,21375,7.9,23.6,17.0,9.32642202852269,19.520282091658,432.9956707831557,78444.202314
