community_area,year,crime_num,population,crime_rate
1,2015-2019,3816.8,52553.206784,726.2734728420107
2,2015-2019,3396.6,78444.202314,432.9956707831557
3,2015-2019,3658.8,53663.317254,681.8065276662109
4,2015-2019,1923.0,42033.841869,457.48851746483217
5,2015-2019,1422.8,35603.029202,399.6289169462227
6,2015-2019,5826.0,90172.378144,646.0958577244375
7,2015-2019,4320.8,62535.374094,690.9369397079472
8,2015-2019,10821.0,84576.024332,1279.4406080761814
9,2015-2019,268.2,11254.802798,238.29826680540296
10,2015-2019,1229.6,38676.029693,317.9230158214886
11,2015-2019,1126.8,27475.359833,410.1129182106753
12,2015-2019,506.8,19361.55814,261.75579275976594
13,2015-2019,932.4,18896.628476,493.4213535415649
14,2015-2019,2458.0,49941.765631,492.1732279473642
15,2015-2019,3345.6,64579.129015,518.0621124857392
16,2015-2019,2947.4,53468.353559,551.2419597412276
17,2015-2019,1605.2,43400.977557,369.85342044239337
18,2015-2019,600.4,14305.195008,419.70766540703136
19,2015-2019,4729.2,78649.247667,601.3026367427414
20,2015-2019,1602.4,23534.165997,680.8824243885526
21,2015-2019,2327.6,38127.175225,610.4832016177774
22,2015-2019,5088.0,72410.235757,702.6630899358915
23,2015-2019,8336.8,55049.319577,1514.4238047009712
24,2015-2019,7676.0,84714.808339,906.0989631568599
25,2015-2019,16732.0,93940.666333,1781.1242620622427
26,2015-2019,5835.6,16414.888906,3555.065181018046
27,2015-2019,5212.6,18950.718601,2750.6080955288626
28,2015-2019,8779.2,63280.09464,1387.3557000735864
29,2015-2019,8908.4,32086.480035,2776.371852033223
30,2015-2019,4618.4,72091.383081,640.6313490768911
31,2015-2019,2583.6,33050.021824,781.7241434085413
32,2015-2019,9093.0,35958.497534,2528.7485917347503
33,2015-2019,1891.4,19810.006139,954.7700221437069
34,2015-2019,1072.6,13585.42411,789.5226467096285
35,2015-2019,2619.2,18763.463356,1395.904343620261
36,2015-2019,671.2,4425.440249,1516.685261204619
37,2015-2019,884.6,2396.551147,3691.1375795477647
38,2015-2019,3345.2,22636.700945,1477.7771761564434
39,2015-2019,1463.0,14201.388739,1030.1809399684232
40,2015-2019,2798.8,10969.043052,2551.5443660235164
41,2015-2019,1681.8,22487.887103,747.8692828263262
42,2015-2019,3790.6,22922.634445,1653.6493696198277
43,2015-2019,8810.8,43755.223524,2013.6567226464338
44,2015-2019,6314.4,31122.174153,2028.907096579346
45,2015-2019,1333.6,9589.463276,1390.6930571783546
46,2015-2019,4815.8,28332.448885,1699.74717665497
47,2015-2019,390.8,1996.719897,1957.2099250734318
48,2015-2019,1454.2,12798.740461,1136.2055543130996
49,2015-2019,6977.0,39252.989495,1777.4442379449142
50,2015-2019,1158.8,6881.377037,1683.96527870705
51,2015-2019,1917.6,15488.044697,1238.1162616165711
52,2015-2019,1275.0,23448.75298,543.7389361760422
53,2015-2019,4078.2,26700.344133,1527.3960439182479
54,2015-2019,1315.0,7325.656375,1795.0609920602508
55,2015-2019,605.8,9003.049938,672.8830831461282
56,2015-2019,1986.6,37113.7674,535.2730641945016
57,2015-2019,923.4,13816.249237,668.3434730803272
58,2015-2019,2549.0,44347.377613,574.7803223550214
59,2015-2019,1030.0,15188.12425,678.1614260233616
60,2015-2019,1633.8,34483.901503,473.7862970226452
61,2015-2019,4834.6,39458.488229,1225.2370065325547
62,2015-2019,1038.8,18992.537247,546.9516718542097
63,2015-2019,2352.0,37204.527625,632.181121530904
64,2015-2019,956.8,25018.229401,382.441133089041
65,2015-2019,1995.4,31799.903511,627.4861806765437
66,2015-2019,6012.4,51182.393421,1174.7008293545584
67,2015-2019,7256.4,26567.535681,2731.303379857499
68,2015-2019,6578.6,22874.516993,2875.951436269962
69,2015-2019,6612.6,30215.363374,2188.4893185464957
70,2015-2019,2515.0,43537.909724,577.6574980157171
71,2015-2019,7696.6,45992.397076,1673.4505025432304
72,2015-2019,945.0,19826.532537,476.6340247526663
73,2015-2019,3187.6,26635.007753,1196.7708173995063
74,2015-2019,613.2,19196.883036,319.4268563547861
75,2015-2019,2105.2,21594.815938,974.8635996917751
76,2015-2019,1785.4,15655.21018,1140.4509932935312
77,2015-2019,2484.6,48691.025555,510.2788392069225
1,2014-2018,3816.8,51985.015213,734.2115770018136
2,2014-2018,3396.6,77194.756599,440.003978203359
3,2014-2018,3658.8,53226.524065,687.4016412441079
4,2014-2018,1923.0,41642.093835,461.7923410911021
5,2014-2018,1422.8,35767.84226,397.7874845391918
6,2014-2018,5826.0,89422.567823,651.5133865907079
7,2014-2018,4320.8,61994.132528,696.9691846318659
8,2014-2018,10821.0,81566.715697,1326.6440738152698
9,2014-2018,268.2,11714.229038,228.9523272338121
10,2014-2018,1229.6,37905.750108,324.38350289775514
11,2014-2018,1126.8,27961.497632,402.98270673114996
12,2014-2018,506.8,19069.826781,265.7601486474667
13,2014-2018,932.4,18434.722999,505.7846543452692
14,2014-2018,2458.0,50474.746651,486.9761936588744
15,2014-2018,3345.6,64936.447877,515.2114273846793
16,2014-2018,2947.4,53601.709402,549.8705233251435
17,2014-2018,1605.2,43990.581262,364.8962923312418
18,2014-2018,600.4,13851.247331,433.4627673973198
19,2014-2018,4729.2,80741.164598,585.7235306855042
20,2014-2018,1602.4,23543.647912,680.6082073556963
21,2014-2018,2327.6,37918.914545,613.8361363793094
22,2014-2018,5088.0,72820.163259,698.7075793696691
23,2014-2018,8336.8,55842.0467,1492.9252225993355
24,2014-2018,7676.0,84253.740657,911.0574723618824
25,2014-2018,16732.0,94982.423417,1761.589081228401
26,2014-2018,5835.6,16943.82165,3444.0872434466396
27,2014-2018,5212.6,19741.443049,2640.435142994293
28,2014-2018,8779.2,62849.548123,1396.8596851036425
29,2014-2018,8908.4,33869.156585,2630.2396924597056
30,2014-2018,4618.4,74861.506106,616.9258728859376
31,2014-2018,2583.6,32628.265723,791.8287848743348
32,2014-2018,9093.0,34990.447976,2598.709226654343
33,2014-2018,1891.4,19484.53868,970.7183891099443
34,2014-2018,1072.6,13768.807975,779.0071602040771
35,2014-2018,2619.2,18569.041984,1410.5197253885426
36,2014-2018,671.2,4232.054738,1585.9908284579471
37,2014-2018,884.6,2382.072325,3713.5732224251415
38,2014-2018,3345.2,23193.439827,1442.3043864781878
39,2014-2018,1463.0,13558.77,1079.0064290492426
40,2014-2018,2798.8,11354.93483,2464.8314075792896
41,2014-2018,1681.8,22609.521911,743.8458922838919
42,2014-2018,3790.6,23140.929481,1638.0500200358395
43,2014-2018,8810.8,43021.509584,2047.9987999483862
44,2014-2018,6314.4,30810.328364,2049.4426172289654
45,2014-2018,1333.6,9660.057472,1380.530088837964
46,2014-2018,4815.8,27463.282872,1753.541272704115
47,2014-2018,390.8,2323.971864,1681.603835458483
48,2014-2018,1454.2,12940.395515,1123.7678155311005
49,2014-2018,6977.0,41199.293264,1693.4756514613593
50,2014-2018,1158.8,6859.982594,1689.2171140689632
51,2014-2018,1917.6,14720.420872,1302.680145271868
52,2014-2018,1275.0,23972.409787,531.8614237486545
53,2014-2018,4078.2,27137.586846,1502.7865311469707
54,2014-2018,1315.0,7231.495006,1818.4344992410824
55,2014-2018,605.8,9116.961917,664.4757382065962
56,2014-2018,1986.6,36372.202308,546.1863384508479
57,2014-2018,923.4,13178.413555,700.6913208074687
58,2014-2018,2549.0,45227.642777,563.5933786264591
59,2014-2018,1030.0,15927.251008,646.6903795781504
60,2014-2018,1633.8,33832.510896,482.90829049674915
61,2014-2018,4834.6,39499.663075,1223.9598071558996
62,2014-2018,1038.8,19199.775955,541.0479801611831
63,2014-2018,2352.0,39001.19833,603.0583932573232
64,2014-2018,956.8,25777.417237,371.17760526707957
65,2014-2018,1995.4,32089.494041,621.8234533241701
66,2014-2018,6012.4,51850.101692,1159.5734248921751
67,2014-2018,7256.4,28462.230974,2549.4839131298804
68,2014-2018,6578.6,23745.171407,2770.500110207943
69,2014-2018,6612.6,30871.507599,2141.9750813252144
70,2014-2018,2515.0,44160.608823,569.512075814073
