community_area,year,Low food access,Neighborhood safety rate,Per capita income,crime_num,population,crime_rate
1,2014-2018,,,29865.8513219293,3816.8,51985.015213,734.2115770018136
1,2015,5.70314818416434,,,,,
1,2015-2017,,76.6,,,,
1,2015-2019,,,29913.4404825808,3816.8,52553.206784,726.2734728420107
1,2016-2018,,73.0,,,,
1,2019,5.67896156655646,,,,,
2,2014-2018,,,29013.9666480987,3396.6,77194.756599,440.003978203359
2,2015,8.72877957703951,,,,,
2,2015-2017,,77.3,,,,
2,2015-2019,,,29916.5085728848,3396.6,78444.202314,432.9956707831557
2,2016-2018,,75.6,,,,
2,2019,9.32642202852269,,,,,
3,2014-2018,,,49199.3705882912,3658.8,53226.524065,687.4016412441079
3,2015,0.0157907936839179,,,,,
3,2015-2017,,79.0,,,,
3,2015-2019,,,49457.0765285371,3658.8,53663.317254,681.8065276662109
3,2016-2018,,81.9,,,,
3,2019,0.0159164152685014,,,,,
4,2014-2018,,,50564.1505469045,1923.0,41642.093835,461.7923410911021
4,2015,6.15974190839667,,,,,
4,2015-2017,,90.4,,,,
4,2015-2019,,,51806.0829780648,1923.0,42033.841869,457.48851746483217
4,2016-2018,,90.1,,,,
4,2019,7.90276170553888,,,,,
5,2014-2018,,,76270.6383836616,1422.8,35767.84226,397.7874845391918
5,2015,15.6998157645419,,,,,
5,2015-2017,,98.5,,,,
5,2015-2019,,,77989.2838380452,1422.8,35603.029202,399.6289169462227
5,2016-2018,,95.3,,,,
5,2019,15.9023273001898,,,,,
6,2014-2018,,,77734.1973689774,5826.0,89422.567823,651.5133865907079
6,2015,5.19454731188599,,,,,
6,2015-2017,,91.5,,,,
6,2015-2019,,,80680.8736095362,5826.0,90172.378144,646.0958577244375
6,2016-2018,,94.4,,,,
6,2019,5.19481248042596,,,,,
7,2014-2018,,,90079.475260082,4320.8,61994.132528,696.9691846318659
7,2015,4.68311766167112,,,,,
7,2015-2017,,89.2,,,,
7,2015-2019,,,94590.5900816481,4320.8,62535.374094,690.9369397079472
7,2016-2018,,86.3,,,,
7,2019,4.68280359213997,,,,,
8,2014-2018,,,99073.3913556758,10821.0,81566.715697,1326.6440738152698
8,2015,0.0034738460642668,,,,,
8,2015-2017,,89.1,,,,
8,2015-2019,,,102621.21515488,10821.0,84576.024332,1279.4406080761814
8,2016-2018,,85.8,,,,
8,2019,0.0034727666189065,,,,,
9,2014-2018,,,58690.1397790423,268.2,11714.229038,228.9523272338121
9,2015,18.6617346618252,,,,,
9,2015-2017,,100.0,,,,
9,2015-2019,,,62226.0381226636,268.2,11254.802798,238.29826680540296
9,2016-2018,,100.0,,,,
9,2019,26.3903188152609,,,,,
10,2014-2018,,,45905.6989039114,1229.6,37905.750108,324.38350289775514
10,2015,45.2986199659686,,,,,
10,2015-2017,,96.4,,,,
10,2015-2019,,,47085.4783994497,1229.6,38676.029693,317.9230158214886
10,2016-2018,,96.3,,,,
10,2019,57.982295050679,,,,,
11,2014-2018,,,38012.9951816056,1126.8,27961.497632,402.98270673114996
11,2015,9.38595784438834,,,,,
11,2015-2017,,96.5,,,,
11,2015-2019,,,37378.8187327013,1126.8,27475.359833,410.1129182106753
11,2016-2018,,97.4,,,,
11,2019,9.38820742416371,,,,,
12,2014-2018,,,55414.6490273997,506.8,19069.826781,265.7601486474667
12,2015,17.4743352589529,,,,,
12,2015-2017,,96.7,,,,
12,2015-2019,,,58010.1731861339,506.8,19361.55814,261.75579275976594
12,2016-2018,,95.4,,,,
12,2019,17.5198845533823,,,,,
13,2014-2018,,,37313.5280247826,932.4,18434.722999,505.7846543452692
13,2015,28.102579029134,,,,,
13,2015-2017,,87.8,,,,
13,2015-2019,,,37284.8790155814,932.4,18896.628476,493.4213535415649
13,2016-2018,,96.1,,,,
13,2019,76.7781154091305,,,,,
14,2014-2018,,,31742.6564888805,2458.0,50474.746651,486.9761936588744
14,2015,0.0421877748608653,,,,,
14,2015-2017,,80.0,,,,
14,2015-2019,,,33104.5357691715,2458.0,49941.765631,492.1732279473642
14,2016-2018,,87.1,,,,
14,2019,3.89779136284278,,,,,
15,2014-2018,,,32826.8113649723,3345.6,64936.447877,515.2114273846793
15,2015,12.0991942637208,,,,,
15,2015-2017,,88.2,,,,
15,2015-2019,,,34619.5859254656,3345.6,64579.129015,518.0621124857392
15,2016-2018,,90.9,,,,
15,2019,24.8257787002095,,,,,
16,2014-2018,,,40595.6354209715,2947.4,53601.709402,549.8705233251435
16,2015,13.324432874289,,,,,
16,2015-2017,,86.6,,,,
16,2015-2019,,,42045.9786628078,2947.4,53468.353559,551.2419597412276
16,2016-2018,,83.0,,,,
16,2019,15.2155990232583,,,,,
17,2014-2018,,,33674.6806629347,1605.2,43990.581262,364.8962923312418
17,2015,27.1040409197298,,,,,
17,2015-2017,,96.4,,,,
17,2015-2019,,,34459.732472294,1605.2,43400.977557,369.85342044239337
17,2016-2018,,94.0,,,,
17,2019,47.3604793817543,,,,,
18,2014-2018,,,28788.2651305032,600.4,13851.247331,433.4627673973198
18,2015,0.0392083926529922,,,,,
18,2015-2017,,77.5,,,,
18,2015-2019,,,30941.0038972965,600.4,14305.195008,419.70766540703136
18,2016-2018,,79.0,,,,
18,2019,0.0758252634643147,,,,,
19,2014-2018,,,20907.6267606234,4729.2,80741.164598,585.7235306855042
19,2015,0.0070818934564316,,,,,
19,2015-2017,,71.8,,,,
19,2015-2019,,,21776.4502682445,4729.2,78649.247667,601.3026367427414
19,2016-2018,,65.0,,,,
19,2019,0.0097067845563171,,,,,
20,2014-2018,,,21732.7308116745,1602.4,23543.647912,680.6082073556963
20,2015,0.0015600826905748,,,,,
20,2015-2017,,58.8,,,,
20,2015-2019,,,23735.8925388898,1602.4,23534.165997,680.8824243885526
20,2016-2018,,66.9,,,,
20,2019,0.0015602237616867,,,,,
21,2014-2018,,,32508.5431199008,2327.6,37918.914545,613.8361363793094
21,2015,0.0084952992840368,,,,,
21,2015-2017,,88.1,,,,
21,2015-2019,,,35722.8391987291,2327.6,38127.175225,610.4832016177774
21,2016-2018,,80.0,,,,
21,2019,0.0085838184174054,,,,,
22,2014-2018,,,50679.682459877,5088.0,72820.163259,698.7075793696691
22,2015,0.0104657535503667,,,,,
22,2015-2017,,82.6,,,,
22,2015-2019,,,54282.4402277014,5088.0,72410.235757,702.6630899358915
22,2016-2018,,84.9,,,,
22,2019,0.0104765477811148,,,,,
23,2014-2018,,,18703.3042099824,8336.8,55842.0467,1492.9252225993355
23,2015,16.729677185846,,,,,
23,2015-2017,,52.2,,,,
23,2015-2019,,,19079.4828806295,8336.8,55049.319577,1514.4238047009712
23,2016-2018,,48.5,,,,
23,2019,16.4262630325303,,,,,
24,2014-2018,,,64069.5246834848,7676.0,84253.740657,911.0574723618824
24,2015,6.35551410608618,,,,,
24,2015-2017,,84.6,,,,
24,2015-2019,,,68152.2714832152,7676.0,84714.808339,906.0989631568599
24,2016-2018,,86.0,,,,
24,2019,0.61131394991469,,,,,
25,2014-2018,,,21420.2710898096,16732.0,94982.423417,1761.589081228401
25,2015,37.8103848328117,,,,,
25,2015-2017,,54.9,,,,
25,2015-2019,,,23651.7282459047,16732.0,93940.666333,1781.1242620622427
25,2016-2018,,59.6,,,,
25,2019,32.4076171323229,,,,,
26,2014-2018,,,14123.7897341278,5835.6,16943.82165,3444.0872434466396
26,2015,5.09191286238964,,,,,
26,2015-2017,,49.3,,,,
26,2015-2019,,,15021.0094127515,5835.6,16414.888906,3555.065181018046
26,2016-2018,,46.0,,,,
26,2019,0.0501227301129808,,,,,
27,2014-2018,,,15213.5750280429,5212.6,19741.443049,2640.435142994293
27,2015,18.019127741605,,,,,
