,community_area_name,community_area,assault_homicide,firearm_related,below_poverty_level,crowded_housing,dependency,no_high_school_diploma,per_capita_income,unemployment,adult_fruit_and_vegetable_servings_rate,adult_soda_consumption_rate,low_food_access,poverty_rate,crime_rate,population
0,ENGLEWOOD,68,1.8114884774520392,2.152409585417402,2.343879560159622,-0.019212905071544086,1.0737423105848556,0.6688238480121751,-0.915342969218477,1.373309635790372,-0.33337778830603276,0.9517698911105666,-0.19477283310392096,2.034006573175054,2.3205002940118256,-0.6348547451854976
1,WEST TOWN,24,-0.5670649661888616,-0.7101382088700402,-0.37016325138600725,-0.757591217625002,-1.7389999597496972,-0.6110030950488824,0.8918649144031772,-1.0874810952310237,0.44920778402313677,-0.7448742571280124,-1.1254300558276051,-0.7952720591028668,-0.26587916278445217,2.2094907069729555
2,AUSTIN,25,1.1161190280816118,0.9266711043125965,0.787145570140997,0.21812298110635323,0.4700317745130493,0.31687143867038436,-0.6582366634190264,1.3250588371428935,-1.231426805732949,0.6719110625351308,0.24187690252267705,0.6083446447271253,0.8830126898573284,2.6338342321460626
3,WEST GARFIELD PARK,26,1.480050702518471,1.4872222389641845,2.1492878114072935,1.0619839097388768,0.9502560645701681,0.41285845939996363,-0.9835641993287464,2.0005700182075903,-0.48732904843636116,1.6689081393351202,-1.1495624417656185,1.927564228579976,3.2121639400048663,-0.9319654697953341
4,DOUGLAS,35,-0.2356271912552935,-0.5232878306528442,0.6949705312583153,-0.8630738337040674,-0.627623745617508,-0.33104095125427613,-0.18828273853273744,0.6334640565290371,1.3600860731275806,-0.7273830803420477,0.42134400080441986,1.5331278520339462,0.3772261413689969,-0.8239427404304743
5,LOOP,32,-1.0739697984402012,-0.9044626022159239,-0.8412801167863805,-0.757591217625002,-2.7543313158704628,-1.4108949344620436,2.7318085130489527,-1.3769858871158938,0.9367201077691775,-0.8235845526648535,-1.1515690634593434,-0.7478282977186891,1.8646294525635163,-0.033056795371500726
6,NEAR NORTH SIDE,8,-0.8790064014204552,-0.9642547232454267,-0.6057216840861938,-0.757591217625002,-1.6841171837431692,-1.4108949344620436,4.006144427507956,-1.2161498916242992,1.077842096221978,-1.0859522044543244,-1.1515684869126381,-0.9373146804705785,0.22431143471742582,2.2031073337618863
7,HYDE PARK,41,-0.7425320235066329,-0.8297224509290455,-0.11412147671189128,-0.6257379475261703,-1.2176135876876826,-1.2589154849735429,0.8687534995961473,-0.9427286992885886,0.320915067247863,-1.7506169223209844,-0.6202502251168726,0.16656866604687046,-0.47363177382926797,-0.6526377948017598
8,FOREST GLEN,12,-0.9050015210230878,-0.7400342693847916,-1.3533636661346125,-0.9421857957633666,0.6895628785391609,-1.1789263010322266,1.0171117600854662,-1.167899092976821,1.7321349517758742,-0.9372772017736244,-0.39832646427959933,-1.4226882359726678,-1.1118896949378123,-0.796433358734456
9,LAKE VIEW,6,-1.0284783391355936,-1.0688909350470563,-0.9027301427081683,-0.9685564497831328,-2.617124375854143,-1.4508895264327015,2.1116631276319944,-1.2965678893700967,1.6166715066781279,-1.4620125053525663,-0.9283301163030728,-1.0831274150146377,-0.6072583776100711,2.460511740619705
10,DUNNING,17,-0.8790064014204552,-0.8147744206716699,-1.1280469044213903,-0.019212905071544086,-0.0925166795538615,-0.24305284891882833,0.02443393769400437,-0.6693075069528781,-1.1801097190228396,0.2871051732439068,0.8848809801857812,-1.1761246399504692,-0.9699595314444429,0.30926022392840025
11,KENWOOD,39,-0.13164671284476231,0.09705542502824632,0.3877204016493762,-0.678479255565703,-0.18856153756528468,-0.8189749732963042,0.7558807541929763,-0.2833011177730513,1.0650128245444512,-0.9460227901666068,-0.9035846179052046,0.03184475081845097,-0.10296184782587507,-1.0337754547795925
12,NORWOOD PARK,10,-0.8140186024138732,-0.5531838911675956,-1.3738470081085417,-0.678479255565703,0.6895628785391609,-0.6030041766547508,0.3722181741102717,-0.8783943010919509,-0.8978657421172375,-1.88180074821572,1.3416410755691346,-1.201134502111091,-1.0381431815034567,0.09193615128682626
13,PORTAGE PARK,15,-0.9050015210230878,-0.8521444963151091,-0.7183800649428048,-0.12469552115060938,-0.13367876155875702,-0.18706042015990712,-0.15430306633769927,-0.34763551596968917,0.9623786511242317,-0.7536198455209946,-0.08415786906208307,-0.9398545478376601,-0.7753642906070614,1.2833497289025966
14,EDGEWATER,77,-0.7425320235066329,-0.9119366173446117,-0.2779882125033253,-0.2565487912494413,-1.6703964897415375,-0.9629555043906732,0.4838469623425262,-0.6049731087562402,0.6929639458961567,-1.024733085703448,-1.1516526099071505,-0.5763287131806368,-0.7855835828585006,0.5525760886714033
15,JEFFERSON PARK,11,-0.8075198225132149,-0.8895145719585483,-1.3226386531737184,-0.7839618716447684,-0.16112014956202134,-0.6030041766547508,0.08551878192901519,-0.6049731087562402,0.5518419574433558,-0.3338316026578413,-0.7480054397898689,-0.8999258034063837,-0.9170995638123179,-0.4232388856347932
16,NORTH CENTER,5,-1.0544734587382265,-1.128683056076559,-1.250946956264966,-1.2322629899807964,-1.382261915707266,-1.2509165665794113,1.678766032153011,-1.3287350884684155,0.5390126857658287,-0.34257719105082346,-0.46788477975835385,-1.3379273512573429,-0.9308648613995802,-0.04940656849681705
17,BRIDGEPORT,60,-0.8010210426125567,-0.8670925265724847,-0.20629651559457288,-0.019212905071544086,-0.4492547235962928,0.3648649490351742,-0.06578569291247462,-0.2511339186747325,0.5390126857658287,-0.3075948374788941,0.35684269696332,-0.42840729214955015,-0.8334976082588521,-0.1008808696644019
18,LINCOLN PARK,7,-1.0739697984402012,-1.0315208594036172,-0.7695884198776279,-1.1267803739017312,-2.0820173097904964,-1.338904668914859,2.9743146899476454,-1.3287350884684155,1.526866604935436,-1.1121889696332716,-0.9503475600189182,-0.9643633631886102,-0.5483828755886523,1.189347179943894
19,AVONDALE,21,-0.8140186024138732,-0.859618511443797,-0.4828216322426182,0.2444936351261195,-0.7099479096272999,0.3728638674293056,-0.3590976995286037,-0.5567223101087618,0.051500362019788436,-1.1821536767771306,-1.1513487010888432,-0.4631145471627548,-0.654017129046239,0.0666915789218932
20,EDISON PARK,9,-1.1194612577448084,-0.672768133226601,-1.455780376004259,-1.1267803739017312,0.1407351184738823,-1.0029500963613314,0.8094363839724391,-0.8623107015427913,1.591012963323073,0.00724634466847117,-0.01687940044087934,-1.5107414134258867,-1.1426889878106172,-1.1693037347772497
21,LINCOLN SQUARE,4,-0.7945222627118985,-0.7475082845134794,-1.0051468525778147,-0.4675140234075721,-1.3685412217056339,-0.6829933605960669,0.6238903512157182,-0.9588122988377481,2.206818003844387,-1.715634568749055,-0.8118826853827177,-1.059787521050671,-0.8548962880153649,0.2463787902868715
22,BELMONT CRAGIN,19,-0.6645466646987346,-0.7923523752856063,-0.0731547927640325,1.3520611039563066,0.1818972004787778,1.2767416459661776,-0.7023644072715423,-0.20288312002725406,-1.0261584588925112,-0.2988492490859116,-1.151300411216687,-0.3206339736778766,-0.6660710390312105,1.9305051210922983
23,NORTH PARK,13,-0.9244978607250626,-0.9717287383741146,-0.7081383939558402,-0.28291944526920765,0.5660766325244734,-0.22705501213056517,-0.06761889295382542,-0.8462271019936319,0.5005248707332465,-1.0772066160613423,2.1499003193113873,-0.7530540999463452,-0.8077171462665331,-0.8178178080407009
24,BEVERLY,72,-0.8920039612217715,-0.9418326778593631,-1.4455387050172943,-1.1004097198819647,0.42886969250815377,-1.274913321761806,0.9253208151578294,-0.7979763033461537,2.2966229055870784,-1.1121889696332716,1.0093315233261984,-1.395858504919989,-0.8297585950078569,-0.7750468519329706
25,IRVING PARK,16,-0.8530112818178224,-0.7774043450282307,-0.8720051297472743,0.19175232708658674,-0.545299581607716,0.07690388684643608,0.04839648109166134,-0.39588631461716733,0.07715890537484309,-0.7973477874859064,-0.4974155194219459,-1.00717024232023,-0.7317997716938188,0.7723093869124952
26,WEST RIDGE,2,-0.7425320235066329,-0.9268846476019875,-0.43161327730779503,0.5609414833633158,0.37398691650162513,-0.11507015461272245,-0.3010900125058603,-0.7818927037969942,-0.42318269004872433,-0.9810051437385362,-0.7506623398986568,0.04045064923295516,-0.8870549376404486,1.9210740559307735
27,MCKINLEY PARK,59,-0.7880234828112404,-0.7176122239987279,-0.32919656743814846,0.5345708293435496,-0.2571650075734445,0.860797889471334,-0.5497505038290876,-0.1385487218306162,-0.15376798482064974,-0.20264777676310577,-1.0057759834595599,0.011983927008386654,-0.5651568861274276,-0.988390534978796
28,NEAR SOUTH SIDE,33,-0.8075198225132149,-0.7101382088700402,-0.8412801167863805,-0.9158151417436002,-1.9996931457807046,-1.114934953879174,2.266568531126137,-1.135731893878502,-0.1794265281757044,-1.4270301517806365,-0.982523662976852,-0.8567450457518276,-0.20197497258630998,-0.7758069839434886
29,WEST LAWN,65,-0.42409180837438126,-0.5457098760389076,-0.41112993533386566,0.508200175323783,0.8679319005603761,0.9887805837774395,-0.6596770348800878,-0.7979763033461537,-0.20508507153075906,0.5407272366403952,0.2878442322132516,-0.6233361776652913,-0.6316925355336945,-0.2243314116328046
