,community_area,year,Crime Number,community_area_name
0,1,2019,4053,Rogers Park
1,1,2018,3842,Rogers Park
2,1,2017,4162,Rogers Park
3,1,2016,3674,Rogers Park
4,1,2015,3598,Rogers Park
5,1,2014,3808,Rogers Park
6,10,2019,1163,Norwood Park
7,10,2018,1182,Norwood Park
8,10,2017,1108,Norwood Park
9,10,2016,1323,Norwood Park
10,10,2015,1280,Norwood Park
11,10,2014,1255,Norwood Park
12,11,2019,970,Jefferson Park
13,11,2018,1105,Jefferson Park
14,11,2017,1064,Jefferson Park
15,11,2016,1074,Jefferson Park
16,11,2015,1158,Jefferson Park
17,11,2014,1233,Jefferson Park
18,12,2019,463,Forest Glen
19,12,2018,496,Forest Glen
20,12,2017,551,Forest Glen
21,12,2016,574,Forest Glen
22,12,2015,451,Forest Glen
23,12,2014,462,Forest Glen
24,13,2019,796,North Park
25,13,2018,1003,North Park
26,13,2017,968,North Park
27,13,2016,974,North Park
28,13,2015,844,North Park
29,13,2014,873,North Park
30,14,2019,2218,Albany Park
31,14,2018,2437,Albany Park
32,14,2017,2486,Albany Park
33,14,2016,2421,Albany Park
34,14,2015,2541,Albany Park
35,14,2014,2405,Albany Park
36,15,2019,2900,Portage Park
37,15,2018,3228,Portage Park
38,15,2017,3379,Portage Park
39,15,2016,3266,Portage Park
40,15,2015,3460,Portage Park
41,15,2014,3395,Portage Park
42,16,2019,2540,Irving Park
43,16,2018,2840,Irving Park
44,16,2017,3018,Irving Park
45,16,2016,3002,Irving Park
46,16,2015,3022,Irving Park
47,16,2014,2855,Irving Park
48,17,2019,1337,Dunning
49,17,2018,1514,Dunning
50,17,2017,1522,Dunning
51,17,2016,1757,Dunning
52,17,2015,1661,Dunning
53,17,2014,1572,Dunning
54,18,2019,553,Montclaire
55,18,2018,606,Montclaire
56,18,2017,609,Montclaire
57,18,2016,673,Montclaire
58,18,2015,588,Montclaire
59,18,2014,526,Montclaire
60,19,2019,4361,Belmont Cragin
61,19,2018,4407,Belmont Cragin
62,19,2017,4620,Belmont Cragin
63,19,2016,4790,Belmont Cragin
64,19,2015,4849,Belmont Cragin
65,19,2014,4980,Belmont Cragin
66,2,2019,3474,West Ridge
67,2,2018,3547,West Ridge
68,2,2017,3603,West Ridge
69,2,2016,3296,West Ridge
70,2,2015,3120,West Ridge
71,2,2014,3417,West Ridge
72,20,2019,1301,Hermosa
73,20,2018,1409,Hermosa
74,20,2017,1508,Hermosa
75,20,2016,1563,Hermosa
76,20,2015,1738,Hermosa
77,20,2014,1794,Hermosa
78,21,2019,2147,Avondale
79,21,2018,2348,Avondale
80,21,2017,2357,Avondale
81,21,2016,2297,Avondale
82,21,2015,2263,Avondale
83,21,2014,2373,Avondale
84,22,2019,4891,Logan Square
85,22,2018,4960,Logan Square
86,22,2017,5085,Logan Square
87,22,2016,5477,Logan Square
88,22,2015,4810,Logan Square
89,22,2014,5108,Logan Square
90,23,2019,8010,Humboldt Park
91,23,2018,8123,Humboldt Park
92,23,2017,8081,Humboldt Park
93,23,2016,8038,Humboldt Park
94,23,2015,8206,Humboldt Park
95,23,2014,9236,Humboldt Park
96,24,2019,7295,West Town
97,24,2018,7338,West Town
98,24,2017,8347,West Town
99,24,2016,8253,West Town
100,24,2015,7091,West Town
101,24,2014,7351,West Town
102,25,2019,14764,Austin
103,25,2018,15180,Austin
104,25,2017,15454,Austin
105,25,2016,16793,Austin
106,25,2015,17424,Austin
107,25,2014,18809,Austin
108,26,2019,6224,West Garfield Park
109,26,2018,5737,West Garfield Park
110,26,2017,5380,West Garfield Park
111,26,2016,5793,West Garfield Park
112,26,2015,6039,West Garfield Park
113,26,2014,6229,West Garfield Park
114,27,2019,4654,East Garfield Park
115,27,2018,4943,East Garfield Park
116,27,2017,4780,East Garfield Park
117,27,2016,5052,East Garfield Park
118,27,2015,5466,East Garfield Park
119,27,2014,5822,East Garfield Park
120,28,2019,9363,Near West Side
121,28,2018,9466,Near West Side
122,28,2017,9075,Near West Side
123,28,2016,9486,Near West Side
124,28,2015,7961,Near West Side
125,28,2014,7908,Near West Side
126,29,2019,9009,North Lawndale
127,29,2018,9452,North Lawndale
128,29,2017,9095,North Lawndale
129,29,2016,8827,North Lawndale
130,29,2015,8440,North Lawndale
131,29,2014,8728,North Lawndale
132,3,2019,3365,Uptown
133,3,2018,3664,Uptown
134,3,2017,3569,Uptown
135,3,2016,3572,Uptown
136,3,2015,3668,Uptown
137,3,2014,3821,Uptown
138,30,2019,4446,South Lawndale
139,30,2018,4575,South Lawndale
140,30,2017,4559,South Lawndale
141,30,2016,4711,South Lawndale
142,30,2015,4464,South Lawndale
143,30,2014,4783,South Lawndale
144,31,2019,2340,Lower West Side
145,31,2018,2401,Lower West Side
146,31,2017,2635,Lower West Side
147,31,2016,2633,Lower West Side
148,31,2015,2534,Lower West Side
149,31,2014,2715,Lower West Side
150,32,2019,10597,Loop
151,32,2018,10893,Loop
152,32,2017,10636,Loop
153,32,2016,9040,Loop
154,32,2015,7601,Loop
155,32,2014,7295,Loop
156,33,2019,1869,Near South Side
157,33,2018,1886,Near South Side
158,33,2017,1952,Near South Side
159,33,2016,1951,Near South Side
160,33,2015,1885,Near South Side
161,33,2014,1783,Near South Side
162,34,2019,1024,Armour Square
163,34,2018,1022,Armour Square
164,34,2017,1019,Armour Square
165,34,2016,1012,Armour Square
166,34,2015,1085,Armour Square
167,34,2014,1225,Armour Square
168,35,2019,2745,Douglas
169,35,2018,2731,Douglas
170,35,2017,2638,Douglas
171,35,2016,2623,Douglas
172,35,2015,2530,Douglas
173,35,2014,2574,Douglas
174,36,2019,637,Oakland
175,36,2018,680,Oakland
176,36,2017,691,Oakland
177,36,2016,702,Oakland
178,36,2015,636,Oakland
179,36,2014,647,Oakland
180,37,2019,906,Fuller Park
181,37,2018,836,Fuller Park
182,37,2017,880,Fuller Park
183,37,2016,930,Fuller Park
184,37,2015,844,Fuller Park
185,37,2014,933,Fuller Park
186,38,2019,3394,Grand Boulevard
187,38,2018,3267,Grand Boulevard
188,38,2017,3468,Grand Boulevard
189,38,2016,3318,Grand Boulevard
190,38,2015,3160,Grand Boulevard
191,38,2014,3513,Grand Boulevard
192,39,2019,1390,Kenwood
193,39,2018,1473,Kenwood
194,39,2017,1537,Kenwood
195,39,2016,1421,Kenwood
196,39,2015,1380,Kenwood
197,39,2014,1504,Kenwood
198,4,2019,1804,Lincoln Square
199,4,2018,1944,Lincoln Square
200,4,2017,2010,Lincoln Square
201,4,2016,1990,Lincoln Square
202,4,2015,1771,Lincoln Square
203,4,2014,1900,Lincoln Square
204,40,2019,2342,Washington Park
205,40,2018,2821,Washington Park
206,40,2017,2736,Washington Park
207,40,2016,2713,Washington Park
208,40,2015,2776,Washington Park
209,40,2014,2948,Washington Park
210,41,2019,1727,Hyde Park
211,41,2018,1971,Hyde Park
212,41,2017,1729,Hyde Park
213,41,2016,1765,Hyde Park
214,41,2015,1521,Hyde Park
215,41,2014,1423,Hyde Park
216,42,2019,3562,Woodlawn
217,42,2018,3505,Woodlawn
218,42,2017,3859,Woodlawn
219,42,2016,3630,Woodlawn
220,42,2015,3760,Woodlawn
221,42,2014,4199,Woodlawn
222,43,2019,8672,South Shore
223,43,2018,8705,South Shore
224,43,2017,8708,South Shore
225,43,2016,8220,South Shore
226,43,2015,9123,South Shore
227,43,2014,9298,South Shore
228,44,2019,6799,Chatham
229,44,2018,6546,Chatham
230,44,2017,6417,Chatham
231,44,2016,6268,Chatham
232,44,2015,6061,Chatham
233,44,2014,6280,Chatham
234,45,2019,1303,Avalon Park
235,45,2018,1168,Avalon Park
236,45,2017,1288,Avalon Park
237,45,2016,1316,Avalon Park
238,45,2015,1393,Avalon Park
239,45,2014,1503,Avalon Park
240,46,2019,4258,South Chicago
241,46,2018,4338,South Chicago
242,46,2017,4592,South Chicago
243,46,2016,4802,South Chicago
244,46,2015,5095,South Chicago
245,46,2014,5252,South Chicago
246,47,2019,375,Burnside
247,47,2018,388,Burnside
248,47,2017,374,Burnside
249,47,2016,400,Burnside
250,47,2015,389,Burnside
251,47,2014,403,Burnside
252,48,2019,1433,Calumet Heights
